It does a sorts of fun and helpful things.,Praise,#N/A
We have had some issues with the Nest and the Echo Dot not working together when it is supposed to and there are times when it just doesn't recognize commands even though we've don't tons of voice training with the device.,Bug Report,
"I also find it mildly annoying that you can't just ask a question like,  'Alexa, what sound does a whale make?'",Complaint,
You have to ask her to 'wikipedia' something instead and you don't get the specific info you asked for.,Complaint,
I hope they work on that feature.,Feature Request,
"Several features that should have been easy to make available, but are not there: 1) Using the device's built-in camera/microphone as a security camera (accessible through the app on phone or another echo show device).",Feature Request,
"I want it to be discreet... 2) Direct access to apple music with an app (or 'skill') rather than through me uploading the same music to Amazon cloud, or through bluetooth and iphone 3) Using the device as electronic picture frame with direct access to Photos in Mac OSx.",Feature Request,
And no I dont want to copy all my photos into Amazon cloud!,Complaint,
"After owning Sony consoles since the PS1 was launched over 20 years ago, the fact that PS4 gutted the ability for my $300 Harmony remote to turn it on for movie watching (and redid the control scheme to make even this simple task utterly unintuitive)--now that my Sony brand controllers have started lagging to render games nearly unplayable, I'm quickly coming to the conclusion that non-PC gaming is becoming worthless.Good job Sony, you managed to murder a cash cow.",Bug Report,
Doesn't understand 75% of what you say/ask and is more than frustrating to work with.,Complaint,
The software is the issue since 3rd party developers are not really supporting the platform and it has second best phone integration.,Feature Summary,
I was hoping pebble health would be able to replace my fitbit but it isn't as good and I get some very odd sleep data from it.,Bug Report,
If you are interested in a smartwatch this might be a decent place to start but you might be happier with something that has more functionality.,Complaint,
I didn't like the format and I wasn't a fan of the app either.,Complaint,
The user interface and graphics didn't sit well with me.,Complaint,
I like things streamlined like Samsung and this was just a different set up and older school.,Complaint,
"In a noisy environment(when tv is on, or when someone is talking nearby) , it won't be able to hear me very well.",Complaint,
"Sometimes when it doesn't understand my command, it would just ignore.",Bug Report,
Some tasks/skills are not easy to control/adjust (some due to third party apps).,Complaint,
"To play music playlist, I have to let it 'sync' (through the night) before it can understand my command to play the new list.",Bug Report,
Calendar is easy to add.,Praise,
I don't know what the ' text' edit option of the reminder for as it still displays the speech to text 'text'.,Inquiry,
Great concept but the Touchscreen is limited in functionality.,Complaint,
Paired easily enough with the Alexa app on my phone and my Bose Soundlink II bluetooth speaker.,Praise,
"Not as comprehensive in it's answers as my Google Home, but it's much easier to ask Alexa to tell Harmony to turn on an activity than it is to say 'Hey Google, tell Harmony to turn on...' in exactly the right inflection to match my initial voice pairing.",Praise,
"Additionally, Alexa has native ecobee3 support, and Vera (home automation hub) support is in active development.",Feature Summary,
The most amazing feature is that it tracks your sleep automatically so you can just wear it after you shower at night and just fall asleep.,Praise,
It will automatically log your sleep data and sync it with your computer/phone/tablet.,Feature Summary,
Alexa is a VERY poor listener.,Complaint,
"Some, she flat won't read and others, I need to repeat the title at least a dozen times before this dumb twit  cues them up.",Bug Report,
"Other times, she cuts me off mid-sentence and says she can't find what I'm looking for.",Bug Report,
"Voice by itself can only do so much, a picture is worth a thousand words.",Feature Summary,
The combination will likely be the best mid term solution until VR / AR comes along.,Feature Summary,
"Industrial design is not going to impress, and certainly not anything like Apple quality - but it gets the job done and with future updates I expect this to be a long term winner.",Praise,
"Even after you turn off all the home screen spam options it comes with, your still left with a constant try hey Alexa show me traffic and other tips of things you can do.",Complaint,
